1 1000 500, 1.0
2 500 500, 1.788479753729576
4 250 500, 1.094680773969128
8 125 500, 1.606113769271664
1 1000 1000, 1.0
2 500 1000, 1.8055901186610424
4 250 1000, 1.2839015968925336
8 125 1000, 1.6423109835205787
1 1000 1500, 1.0
2 500 1500, 1.7547262896159768
4 250 1500, 1.7006923724275114
8 125 1500, 1.7267501699194097
1 1000 2000, 1.0
2 500 2000, 1.8169471690559411
4 250 2000, 1.8108684642654347
8 125 2000, 1.7946463878326995
1 1000 2500, 1.0
2 500 2500, 1.8332343993470357
4 250 2500, 1.8458808586940278
8 125 2500, 1.7561989835207146
