1 1000000 500, 1.0
2 500000 500, 1.8643979850470656
4 250000 500, 2.19873227216489
8 125000 500, 2.189034938783128
1 1000000 1000, 1.0
2 500000 1000, 1.859834630374544
4 250000 1000, 2.2188657864692565
8 125000 1000, 2.191012237823393
1 1000000 1500, 1.0
2 500000 1500, 1.860019016571187
4 250000 1500, 2.230492962918891
8 125000 1500, 2.2072371623271274
1 1000000 2000, 1.0
2 500000 2000, 1.8645131452563029
4 250000 2000, 2.2346723298532676
8 125000 2000, 2.2008115028418587
1 1000000 2500, 1.0
2 500000 2500, 1.8700123900743373
4 250000 2500, 2.235823557290432
8 125000 2500, 2.206740914455404
