tool,nthreads,size,repetitions,usec
openMP,1,100000,500,147974.9
openMP,2,50000,500,84416.4
openMP,4,25000,500,62110.65
openMP,8,12500,500,63973.9
openMP,1,100000,1000,291320.25
openMP,2,50000,1000,159820.6
openMP,4,25000,1000,123921.05
openMP,8,12500,1000,126336.85
openMP,1,100000,1500,434012.5
openMP,2,50000,1500,234189.55
openMP,4,25000,1500,186727.05
openMP,8,12500,1500,193094.85
openMP,1,100000,2000,577740.7
openMP,2,50000,2000,313075.75
openMP,4,25000,2000,247710.65
openMP,8,12500,2000,256253.15
openMP,1,100000,2500,723262.6
openMP,2,50000,2500,399698.85
openMP,4,25000,2500,312502.7
openMP,8,12500,2500,324539.95
