1 100000 500, 1.0
2 50000 500, 1.7529164948990954
4 25000 500, 2.3824400485262993
8 12500 500, 2.3130511036532084
1 100000 1000, 1.0
2 50000 1000, 1.8227953718106427
4 25000 1000, 2.3508536281769725
8 12500 1000, 2.305900851572601
1 100000 1500, 1.0
2 50000 1500, 1.8532530593273697
4 25000 1500, 2.3243150898597715
8 12500 1500, 2.2476648134323622
1 100000 2000, 1.0
2 50000 2000, 1.8453703297045523
4 25000 2000, 2.3323207944430324
8 12500 2000, 2.254570138942682
1 100000 2500, 1.0
2 50000 2500, 1.8095188414977927
4 25000 2500, 2.3144203234084055
8 12500 2500, 2.228578022520802
