5,2758
5,2778
5,2768
5,2780
5,2809
5,2754
5,2757
5,2780
5,2754
5,2756
3,0262
3,0097
3,0968
3,0054
3,0243
3,0063
3,0069
3,0083
3,0225
3,0099
10,1122
10,1018
10,1030
10,0995
10,1039
10,1079
10,1030
10,1060
10,1007
10,1026
5,9018
5,7716
5,8038
5,7537
5,7766
5,7512
5,7797
5,7548
5,7509
5,7728
21,1112
21,1099
21,1046
21,1190
21,1141
21,1124
21,1060
21,1089
21,1073
21,1016
12,0113
12,0414
12,0337
12,0196
12,0274
12,0204
12,0561
12,1170
12,0440
12,0037
40,4108
40,4100
40,4125
40,4030
40,4087
40,4090
40,4092
40,4127
40,3973
40,4028
23,0082
22,9903
23,0276
23,0281
22,9804
23,0422
23,0124
23,3699
23,0162
23,0211
