5,6960
5,6947
5,6999
5,7047
5,6954
5,6941
5,6939
5,6964
5,6946
5,6944
3,3021
3,2846
3,2900
3,2824
3,3018
3,3729
3,2816
3,2896
3,2893
3,2816
10,9679
10,9739
10,9690
10,9678
10,9901
10,9778
10,9791
10,9711
10,9787
10,9679
6,3347
6,3420
6,3576
6,3191
6,3405
6,4045
6,3510
6,3440
6,3421
6,3422
22,7910
22,7925
22,7872
22,8006
22,7942
22,7942
22,7983
22,7922
22,7912
22,7840
13,1341
13,3578
13,1785
13,1399
13,1517
13,1773
13,1777
13,5043
13,1796
13,1331
43,8909
43,8957
43,8921
43,8820
43,8862
43,8744
43,8831
43,8886
43,9008
43,9110
25,3884
25,3368
25,3667
25,3432
25,3736
25,3547
25,3716
25,4110
25,3594
25,3815
