tool,nthreads,size,repetitions,usec
openMP,1,100000,500,145470.55
openMP,2,50000,500,77755.65
openMP,4,25000,500,68103.75
openMP,8,12500,500,69246.35
openMP,1,100000,1000,288521.5
openMP,2,50000,1000,154463.4
openMP,4,25000,1000,133243.5
openMP,8,12500,1000,133237.55
openMP,1,100000,1500,432629.35
openMP,2,50000,1500,229962.15
openMP,4,25000,1500,198144.65
openMP,8,12500,1500,197636.5
openMP,1,100000,2000,575202.25
openMP,2,50000,2000,306027.7
openMP,4,25000,2000,263115.15
openMP,8,12500,2000,263624.15
openMP,1,100000,2500,718080.0
openMP,2,50000,2500,383486.75
openMP,4,25000,2500,327322.8
openMP,8,12500,2500,327405.7
