tool,nthreads,size,repetitions,usec
openMP,1,1000,500,2846.2
openMP,2,500,500,1678.45
openMP,4,250,500,713.75
openMP,8,125,500,984.45
openMP,1,1000,1000,5909.85
openMP,2,500,1000,2936.1
openMP,4,250,1000,1383.4
openMP,8,125,1000,1616.4
openMP,1,1000,1500,8050.45
openMP,2,500,1500,3824.55
openMP,4,250,1500,2168.45
openMP,8,125,1500,2301.15
openMP,1,1000,2000,9767.55
openMP,2,500,2000,5853.5
openMP,4,250,2000,2914.2
openMP,8,125,2000,2737.7
openMP,1,1000,2500,11451.25
openMP,2,500,2500,6808.85
openMP,4,250,2500,3494.4
openMP,8,125,2500,3123.4
